k	Accuracy
3 	 0.7231
5 	 0.7385
7 	 0.7385
9 	 0.7231
11 	 0.7077
13 	 0.7077
15 	 0.7077
17 	 0.7231
19 	 0.7077
21 	 0.6923
23 	 0.6923
25 	 0.6923
27 	 0.6923
29 	 0.6769
31 	 0.6769
33 	 0.6615
35 	 0.6462
37 	 0.6462
39 	 0.6462
41 	 0.6
43 	 0.5846
45 	 0.5692
47 	 0.5692
49 	 0.5538
51 	 0.5231
53 	 0.4769
55 	 0.4923
57 	 0.4923
59 	 0.4462
61 	 0.4154
63 	 0.4154
65 	 0.4
67 	 0.4
69 	 0.4
71 	 0.3692
73 	 0.3538
75 	 0.3538
77 	 0.3538
79 	 0.3538
81 	 0.3538
83 	 0.3385
85 	 0.3538
87 	 0.3692
89 	 0.3538
91 	 0.3538
93 	 0.3538
95 	 0.3538
97 	 0.3538
99 	 0.3231
