When k is 3, Accuracy: 0.7231
When k is 5, Accuracy: 0.7385
When k is 7, Accuracy: 0.7385
When k is 9, Accuracy: 0.7231
When k is 11, Accuracy: 0.7077
When k is 13, Accuracy: 0.7077
When k is 15, Accuracy: 0.7077
When k is 17, Accuracy: 0.7231
When k is 19, Accuracy: 0.7077
When k is 21, Accuracy: 0.6923
When k is 23, Accuracy: 0.6923
When k is 25, Accuracy: 0.6923
When k is 27, Accuracy: 0.6923
When k is 29, Accuracy: 0.6769
When k is 31, Accuracy: 0.6769
When k is 33, Accuracy: 0.6615
When k is 35, Accuracy: 0.6462
When k is 37, Accuracy: 0.6462
When k is 39, Accuracy: 0.6462
When k is 41, Accuracy: 0.6000
When k is 43, Accuracy: 0.5846
When k is 45, Accuracy: 0.5692
When k is 47, Accuracy: 0.5692
When k is 49, Accuracy: 0.5538
When k is 51, Accuracy: 0.5231
When k is 53, Accuracy: 0.4769
When k is 55, Accuracy: 0.4923
When k is 57, Accuracy: 0.4923
When k is 59, Accuracy: 0.4462
When k is 61, Accuracy: 0.4154
When k is 63, Accuracy: 0.4154
When k is 65, Accuracy: 0.4000
When k is 67, Accuracy: 0.4000
When k is 69, Accuracy: 0.4000
When k is 71, Accuracy: 0.3692
When k is 73, Accuracy: 0.3538
When k is 75, Accuracy: 0.3538
When k is 77, Accuracy: 0.3538
When k is 79, Accuracy: 0.3538
When k is 81, Accuracy: 0.3538
When k is 83, Accuracy: 0.3385
When k is 85, Accuracy: 0.3538
When k is 87, Accuracy: 0.3692
When k is 89, Accuracy: 0.3538
When k is 91, Accuracy: 0.3538
When k is 93, Accuracy: 0.3538
When k is 95, Accuracy: 0.3538
When k is 97, Accuracy: 0.3538
When k is 99, Accuracy: 0.3231
