k = 3, accuracy: 72.3077%
k = 5, accuracy: 73.8462%
k = 7, accuracy: 73.8462%
k = 9, accuracy: 72.3077%
k = 11, accuracy: 70.7692%
k = 13, accuracy: 70.7692%
k = 15, accuracy: 70.7692%
k = 17, accuracy: 72.3077%
k = 19, accuracy: 70.7692%
k = 21, accuracy: 69.2308%
k = 23, accuracy: 69.2308%
k = 25, accuracy: 69.2308%
k = 27, accuracy: 69.2308%
k = 29, accuracy: 67.6923%
k = 31, accuracy: 67.6923%
k = 33, accuracy: 66.1538%
k = 35, accuracy: 64.6154%
k = 37, accuracy: 64.6154%
k = 39, accuracy: 64.6154%
k = 41, accuracy: 60.0%
k = 43, accuracy: 58.4615%
k = 45, accuracy: 56.9231%
k = 47, accuracy: 56.9231%
k = 49, accuracy: 55.3846%
k = 51, accuracy: 52.3077%
k = 53, accuracy: 47.6923%
k = 55, accuracy: 49.2308%
k = 57, accuracy: 49.2308%
k = 59, accuracy: 44.6154%
k = 61, accuracy: 41.5385%
k = 63, accuracy: 41.5385%
k = 65, accuracy: 40.0%
k = 67, accuracy: 40.0%
k = 69, accuracy: 40.0%
k = 71, accuracy: 36.9231%
k = 73, accuracy: 35.3846%
k = 75, accuracy: 35.3846%
k = 77, accuracy: 35.3846%
k = 79, accuracy: 35.3846%
k = 81, accuracy: 35.3846%
k = 83, accuracy: 33.8462%
k = 85, accuracy: 35.3846%
k = 87, accuracy: 36.9231%
k = 89, accuracy: 35.3846%
k = 91, accuracy: 35.3846%
k = 93, accuracy: 35.3846%
k = 95, accuracy: 35.3846%
k = 97, accuracy: 35.3846%
k = 99, accuracy: 32.3077%
