KNN: 3, Accuracy: 0.5692
KNN: 5, Accuracy: 0.5692
KNN: 7, Accuracy: 0.5538
KNN: 9, Accuracy: 0.5538
KNN: 11, Accuracy: 0.5692
KNN: 13, Accuracy: 0.5692
KNN: 15, Accuracy: 0.5385
KNN: 17, Accuracy: 0.5692
KNN: 19, Accuracy: 0.5846
KNN: 21, Accuracy: 0.5692
KNN: 23, Accuracy: 0.5692
KNN: 25, Accuracy: 0.5538
KNN: 27, Accuracy: 0.5538
KNN: 29, Accuracy: 0.5385
KNN: 31, Accuracy: 0.5385
KNN: 33, Accuracy: 0.5231
KNN: 35, Accuracy: 0.5231
KNN: 37, Accuracy: 0.5385
KNN: 39, Accuracy: 0.5385
KNN: 41, Accuracy: 0.5077
KNN: 43, Accuracy: 0.5231
KNN: 45, Accuracy: 0.5231
KNN: 47, Accuracy: 0.5077
KNN: 49, Accuracy: 0.5231
KNN: 51, Accuracy: 0.5231
KNN: 53, Accuracy: 0.5077
KNN: 55, Accuracy: 0.4769
KNN: 57, Accuracy: 0.4462
KNN: 59, Accuracy: 0.4000
KNN: 61, Accuracy: 0.3846
KNN: 63, Accuracy: 0.3692
KNN: 65, Accuracy: 0.3846
KNN: 67, Accuracy: 0.3692
KNN: 69, Accuracy: 0.3692
KNN: 71, Accuracy: 0.3692
KNN: 73, Accuracy: 0.3538
KNN: 75, Accuracy: 0.3231
KNN: 77, Accuracy: 0.3077
KNN: 79, Accuracy: 0.3077
KNN: 81, Accuracy: 0.3077
KNN: 83, Accuracy: 0.3077
KNN: 85, Accuracy: 0.3077
KNN: 87, Accuracy: 0.3077
KNN: 89, Accuracy: 0.3077
KNN: 91, Accuracy: 0.3077
KNN: 93, Accuracy: 0.2923
KNN: 95, Accuracy: 0.2923
KNN: 97, Accuracy: 0.2923
KNN: 99, Accuracy: 0.2923
