k = 3 , accuracy: 0.72308
k = 5 , accuracy: 0.73846
k = 7 , accuracy: 0.73846
k = 9 , accuracy: 0.72308
k = 11 , accuracy: 0.70769
k = 13 , accuracy: 0.70769
k = 15 , accuracy: 0.70769
k = 17 , accuracy: 0.72308
k = 19 , accuracy: 0.70769
k = 21 , accuracy: 0.69231
k = 23 , accuracy: 0.69231
k = 25 , accuracy: 0.69231
k = 27 , accuracy: 0.69231
k = 29 , accuracy: 0.67692
k = 31 , accuracy: 0.67692
k = 33 , accuracy: 0.66154
k = 35 , accuracy: 0.64615
k = 37 , accuracy: 0.64615
k = 39 , accuracy: 0.64615
k = 41 , accuracy: 0.6
k = 43 , accuracy: 0.58462
k = 45 , accuracy: 0.56923
k = 47 , accuracy: 0.56923
k = 49 , accuracy: 0.55385
k = 51 , accuracy: 0.52308
k = 53 , accuracy: 0.47692
k = 55 , accuracy: 0.49231
k = 57 , accuracy: 0.49231
k = 59 , accuracy: 0.44615
k = 61 , accuracy: 0.41538
k = 63 , accuracy: 0.41538
k = 65 , accuracy: 0.4
k = 67 , accuracy: 0.4
k = 69 , accuracy: 0.4
k = 71 , accuracy: 0.36923
k = 73 , accuracy: 0.35385
k = 75 , accuracy: 0.35385
k = 77 , accuracy: 0.35385
k = 79 , accuracy: 0.35385
k = 81 , accuracy: 0.35385
k = 83 , accuracy: 0.33846
k = 85 , accuracy: 0.35385
k = 87 , accuracy: 0.36923
k = 89 , accuracy: 0.35385
k = 91 , accuracy: 0.35385
k = 93 , accuracy: 0.35385
k = 95 , accuracy: 0.35385
k = 97 , accuracy: 0.35385
k = 99 , accuracy: 0.32308
